question,entity,time,answer
Who was the head coach of the team F.C. Crotone right after July 1981?,F.C. Crotone,1981-07,Walter Zenga
Who was the head coach of the team F.C. Crotone right after March 2021?,F.C. Crotone,2021-03,Francesco Modesto
Who was the head coach of the team F.C. Crotone right after May 2022?,F.C. Crotone,2022-05,Franco Lerda
Who was the head coach of the team Fremantle Football Club right after January 1998?,Fremantle Football Club,1998-01,Damian Drum
Who was the head coach of the team Fremantle Football Club right after May 2001?,Fremantle Football Club,2001-05,Ben Allan
Who was the head coach of the team Fremantle Football Club right after September 2011?,Fremantle Football Club,2011-09,Ross Lyon
Who was the head of Hong Kong right after March 2005?,Hong Kong,2005-03,Donald Tsang
Who was the head of Hong Kong right after June 2017?,Hong Kong,2017-06,Carrie Lam
Which employer did Henry Edward Cusack work for right after January 1890?,Henry Edward Cusack,1890-01,Midland Great Western Railway
Which team did Guillaume Gigliotti play for right after January 2010?,Guillaume Gigliotti,2010-01,Novara Calcio
Which team did Guillaume Gigliotti play for right after January 2012?,Guillaume Gigliotti,2012-01,Empoli F.C.
Where was Nicola Shadbolt educated right after January 1978?,Nicola Shadbolt,1978-01,University of Canterbury
Which political party did Giuseppe Pisanu belong to right after January 2009?,Giuseppe Pisanu,2009-01,The People of Freedom
Which political party did Giuseppe Pisanu belong to right after January 2012?,Giuseppe Pisanu,2012-01,Civic Choice
Which political party did Janez Drnovšek belong to right after January 2006?,Janez Drnovšek,2006-01,Movement for Justice and Development
Who was the chair of International Olympic Committee right after January 1896?,International Olympic Committee,1896-01,Godefroy de Blonay
Who was the chair of International Olympic Committee right after January 1919?,International Olympic Committee,1919-01,Pierre de Coubertin
Who was the chair of International Olympic Committee right after January 1925?,International Olympic Committee,1925-01,Henri de Baillet-Latour
Who was the chair of International Olympic Committee right after January 1942?,International Olympic Committee,1942-01,Sigfrid Edström
Who was the chair of International Olympic Committee right after January 1952?,International Olympic Committee,1952-01,Avery Brundage
Who was the chair of International Olympic Committee right after January 1972?,International Olympic Committee,1972-01,"Michael Morris, 3rd Baron Killanin"
Who was the chair of International Olympic Committee right after January 2001?,International Olympic Committee,2001-01,Jacques Rogge
Who was the chair of International Olympic Committee right after January 2013?,International Olympic Committee,2013-01,Thomas Bach
Which employer did Sinead Farrington work for right after May 2011?,Sinead Farrington,2011-05,University of Warwick
"Which position did Sir Richard Paget, 1st Baronet hold right after November 1868?","Sir Richard Paget, 1st Baronet",1868-11,Member of the 20th Parliament of the United Kingdom
"Which position did Sir Richard Paget, 1st Baronet hold right after March 1880?","Sir Richard Paget, 1st Baronet",1880-03,Member of the 22nd Parliament of the United Kingdom
"Which position did Sir Richard Paget, 1st Baronet hold right after November 1885?","Sir Richard Paget, 1st Baronet",1885-11,Member of the 23rd Parliament of the United Kingdom
"Which position did Sir Richard Paget, 1st Baronet hold right after June 1892?","Sir Richard Paget, 1st Baronet",1892-06,Member of the 25th Parliament of the United Kingdom
Which employer did Whai Ngata work for right after January 1983?,Whai Ngata,1983-01,Television New Zealand
"Who was the chair of Food, Beverages and Catering Union right after January 1950?","Food, Beverages and Catering Union",1950-01,Ferdinand Warnecke
"Who was the chair of Food, Beverages and Catering Union right after January 1962?","Food, Beverages and Catering Union",1962-01,Alfred Schattanik
"Who was the chair of Food, Beverages and Catering Union right after January 1989?","Food, Beverages and Catering Union",1989-01,Erich Herrmann
"Who was the chair of Food, Beverages and Catering Union right after January 1990?","Food, Beverages and Catering Union",1990-01,Heinz-Günter Niebrügge
"Who was the chair of Food, Beverages and Catering Union right after January 1992?","Food, Beverages and Catering Union",1992-01,Franz-Josef Möllenberg
"Who was the chair of Food, Beverages and Catering Union right after January 2013?","Food, Beverages and Catering Union",2013-01,Michaela Rosenberger
"Who was the chair of Food, Beverages and Catering Union right after January 2018?","Food, Beverages and Catering Union",2018-01,Guido Zeitler
Who was the head coach of the team FC Hermannstadt right after January 2021?,FC Hermannstadt,2021-01,Liviu Ciobotariu
Who was the head coach of the team FC Hermannstadt right after March 2021?,FC Hermannstadt,2021-03,Marius Măldărășanu
Which team did Brian Hornsby play for right after January 1976?,Brian Hornsby,1976-01,Shrewsbury Town F.C.
Which position did Theresa Amerley Tagoe hold right after January 2001?,Theresa Amerley Tagoe,2001-01,Member of the 3rd Parliament of the 4th Republic of Ghana
Which position did Theresa Amerley Tagoe hold right after January 2005?,Theresa Amerley Tagoe,2005-01,Member of the 4th Parliament of the 4th Republic of Ghana
Who was the head coach of the team Vasas SC right after December 2019?,Vasas SC,2019-12,Ferenc Bene
Who was the head coach of the team Vasas SC right after August 2020?,Vasas SC,2020-08,Attila Kuttor
Who was the head of Mons right after January 1974?,Mons,1974-01,Abel Dubois
Who was the head of Mons right after January 2001?,Mons,2001-01,Elio Di Rupo
Who was the head of Alcalá de Henares right after February 1987?,Alcalá de Henares,1987-02,Bartolomé González Jiménez
Who was the head of Alcalá de Henares right after July 1999?,Alcalá de Henares,1999-07,Manuel Peinado Lorca
Who was the head of Alcalá de Henares right after June 2015?,Alcalá de Henares,2015-06,Javier Rodríguez Palacios
Who was the chair of Roman Catholic Diocese of Edmundston right after February 1970?,Roman Catholic Diocese of Edmundston,1970-02,Fernand Lacroix
Which employer did Raj Kumar Yadav work for right after July 2015?,Raj Kumar Yadav,2015-07,Raffles University
Which employer did Raj Kumar Yadav work for right after October 2015?,Raj Kumar Yadav,2015-10,"Jagan Nath University, NCR"
Which employer did Raj Kumar Yadav work for right after December 2021?,Raj Kumar Yadav,2021-12,Central University of Punjab
Which team did Katarina Kolar play for right after January 2012?,Katarina Kolar,2012-01,Zagłębie Lubin
Which team did Juan Sabas play for right after January 1986?,Juan Sabas,1986-01,Rayo Vallecano
Which team did Juan Sabas play for right after January 1990?,Juan Sabas,1990-01,Atlético Madrid
Which team did Juan Sabas play for right after January 1994?,Juan Sabas,1994-01,Real Betis Balompié
Which team did Juan Sabas play for right after January 1997?,Juan Sabas,1997-01,CP Mérida
Which team did Juan Sabas play for right after January 1999?,Juan Sabas,1999-01,Albacete Balompié
Which position did Vernon Coaker hold right after April 2005?,Vernon Coaker,2005-04,Member of the 54th Parliament of the United Kingdom
Which position did Vernon Coaker hold right after June 2016?,Vernon Coaker,2016-06,Member of the 57th Parliament of the United Kingdom
Who was the head of Soviet Union right after January 1924?,Soviet Union,1924-01,Alexei Rykov
Who was the head of Soviet Union right after May 1941?,Soviet Union,1941-05,Joseph Stalin
Who was the head of Soviet Union right after February 1955?,Soviet Union,1955-02,Nikolai Bulganin
Who was the head of Soviet Union right after March 1958?,Soviet Union,1958-03,Nikita Khrushchev
Who was the head of Soviet Union right after October 1964?,Soviet Union,1964-10,Alexei Kosygin
Who was the head of Soviet Union right after January 1991?,Soviet Union,1991-01,Valentin Pavlov
Who was the head of Soviet Union right after August 1991?,Soviet Union,1991-08,Ivan Silayev
Which employer did Pierre Bénichou work for right after January 1961?,Pierre Bénichou,1961-01,Jours de France
Which employer did Randy Shannon work for right after January 2015?,Randy Shannon,2015-01,Florida Gators
Which employer did Uffe Ellemann-Jensen work for right after January 1970?,Uffe Ellemann-Jensen,1970-01,DR Nyheder
Which employer did Anna K. Panorska work for right after January 1999?,Anna K. Panorska,1999-01,"University of California, Santa Barbara"
Which employer did Anna K. Panorska work for right after January 2000?,Anna K. Panorska,2000-01,Desert Research Institute
Which employer did Anna K. Panorska work for right after January 2002?,Anna K. Panorska,2002-01,"University of Nevada, Reno"
Which team did Marco Delvecchio play for right after January 1995?,Marco Delvecchio,1995-01,A.S. Roma
Which team did Marco Delvecchio play for right after January 2004?,Marco Delvecchio,2004-01,Parma Calcio 1913
Where was Claire Wyart educated right after January 2000?,Claire Wyart,2000-01,Louis Pasteur University
Where was Claire Wyart educated right after January 2003?,Claire Wyart,2003-01,"University of California, Berkeley"
Which employer did José Joaquín de Olmedo work for right after August 1808?,José Joaquín de Olmedo,1808-08,Cádiz Cortes
Which employer did José Joaquín de Olmedo work for right after July 1822?,José Joaquín de Olmedo,1822-07,"Constituent Congress of Peru, 1822"
Which employer did José Joaquín de Olmedo work for right after January 1830?,José Joaquín de Olmedo,1830-01,Municipality of Guayaquil
Which position did Xavier de La Chevalerie hold right after January 1973?,Xavier de La Chevalerie,1973-01,ambassador of France to Senegal
Which position did Xavier de La Chevalerie hold right after January 1977?,Xavier de La Chevalerie,1977-01,ambassador of France to Canada
Who was the chair of Tennessee State University right after January 1943?,Tennessee State University,1943-01,Walter S. Davis
Who was the chair of Tennessee State University right after January 1968?,Tennessee State University,1968-01,Andrew P. Torrence
Who was the chair of Tennessee State University right after January 1986?,Tennessee State University,1986-01,Otis L. Floyd
Who was the chair of Tennessee State University right after January 1990?,Tennessee State University,1990-01,James A. Hefner
Who was the chair of Tennessee State University right after January 2005?,Tennessee State University,2005-01,Melvin N. Johnson
Who was the chair of Tennessee State University right after January 2010?,Tennessee State University,2010-01,Glenda Glover
Who was the chair of Lutheran Church--Missouri Synod right after January 1864?,Lutheran Church--Missouri Synod,1864-01,C. F. W. Walther
Who was the chair of Lutheran Church--Missouri Synod right after January 1899?,Lutheran Church--Missouri Synod,1899-01,Friedrich Pfotenhauer
Who was the chair of Lutheran Church--Missouri Synod right after January 1969?,Lutheran Church--Missouri Synod,1969-01,J. A. O. Preus II
Who was the chair of Lutheran Church--Missouri Synod right after January 1981?,Lutheran Church--Missouri Synod,1981-01,Ralph Arthur Bohlmann
Where was Bertha Swirles educated right after January 1921?,Bertha Swirles,1921-01,Girton College
Which employer did Simon Stoddart work for right after January 1996?,Simon Stoddart,1996-01,University of Cambridge
Which employer did Simon Stoddart work for right after January 2013?,Simon Stoddart,2013-01,McDonald Institute for Archaeological Research
Where was Audrey Eagle educated right after January 1939?,Audrey Eagle,1939-01,Fulham Cross Girls' School and Language College
Where was Audrey Eagle educated right after January 1942?,Audrey Eagle,1942-01,Banbury Academy
Who was the head coach of the team SønderjyskE Fodbold right after May 2021?,SønderjyskE Fodbold,2021-05,Michael Boris
Who was the head coach of the team HNK Šibenik right after December 2014?,HNK Šibenik,2014-12,Krunoslav Rendulić
Who was the head coach of the team HNK Šibenik right after March 2021?,HNK Šibenik,2021-03,Mario Rosas
Which political party did Yasuko Komiyama belong to right after January 2000?,Yasuko Komiyama,2000-01,Democratic Party of Japan
Which political party did Yasuko Komiyama belong to right after January 2012?,Yasuko Komiyama,2012-01,Liberal Party
Which political party did Yasuko Komiyama belong to right after January 2017?,Yasuko Komiyama,2017-01,Party of Hope
Which political party did Yasuko Komiyama belong to right after January 2018?,Yasuko Komiyama,2018-01,Democratic Party for the People
Which position did Lennart Rönnberg hold right after January 1994?,Lennart Rönnberg,1994-01,chief of staff
Which position did Herbert Sausgruber hold right after October 1989?,Herbert Sausgruber,1989-10,Landesrat
Which position did Herbert Sausgruber hold right after May 1990?,Herbert Sausgruber,1990-05,Vice-governor of Vorarlberg
Which position did Herbert Sausgruber hold right after April 1997?,Herbert Sausgruber,1997-04,Landeshauptmann
Who was the chair of Democratic Convergence of Catalonia right after January 1989?,Democratic Convergence of Catalonia,1989-01,Jordi Pujol
Who was the chair of Democratic Convergence of Catalonia right after January 2012?,Democratic Convergence of Catalonia,2012-01,Artur Mas
Who was the chair of Scottish Parliament right after May 2003?,Scottish Parliament,2003-05,George Reid
Who was the chair of Scottish Parliament right after May 2016?,Scottish Parliament,2016-05,Ken Macintosh
Who was the chair of Scottish Parliament right after May 2021?,Scottish Parliament,2021-05,Alison Johnstone
Which position did Jo Grimond hold right after October 1951?,Jo Grimond,1951-10,Member of the 40th Parliament of the United Kingdom
Which position did Jo Grimond hold right after March 1966?,Jo Grimond,1966-03,Member of the 44th Parliament of the United Kingdom
Which position did Jo Grimond hold right after February 1974?,Jo Grimond,1974-02,Member of the 46th Parliament of the United Kingdom
Which position did Jo Grimond hold right after September 1974?,Jo Grimond,1974-09,Member of the 47th Parliament of the United Kingdom
Which position did William Montagu-Pollock hold right after January 1953?,William Montagu-Pollock,1953-01,ambassador of the United Kingdom to Peru
Which team did Marco Modolo play for right after January 2009?,Marco Modolo,2009-01,Venezia F.C.
Which team did Marco Modolo play for right after January 2010?,Marco Modolo,2010-01,F.C. Pro Vercelli 1892
Who was the chair of Supreme Council of the Armed Forces right after August 2012?,Supreme Council of the Armed Forces,2012-08,Abdel Fattah el-Sisi
Which position did Charles William Packe hold right after June 1841?,Charles William Packe,1841-06,Member of the 14th Parliament of the United Kingdom
Which position did Charles William Packe hold right after July 1847?,Charles William Packe,1847-07,Member of the 15th Parliament of the United Kingdom
Which position did Charles William Packe hold right after July 1852?,Charles William Packe,1852-07,Member of the 16th Parliament of the United Kingdom
Which position did Charles William Packe hold right after April 1859?,Charles William Packe,1859-04,Member of the 18th Parliament of the United Kingdom
Which employer did Juan Cuevas Perales work for right after January 1818?,Juan Cuevas Perales,1818-01,Collegiate Basilica of Xàtiva
Which employer did Juan Cuevas Perales work for right after January 1833?,Juan Cuevas Perales,1833-01,Valencia Cathedral
Which employer did Perry T. Rathbone work for right after January 1940?,Perry T. Rathbone,1940-01,Saint Louis Art Museum
Which position did Seán Flanagan hold right after January 1965?,Seán Flanagan,1965-01,Minister for Health
Which position did Seán Flanagan hold right after July 1969?,Seán Flanagan,1969-07,"Minister for Communications, Climate Action and Environment"
Who was the chair of Czech Social Democratic Party right after January 2001?,Czech Social Democratic Party,2001-01,Vladimír Špidla
Who was the chair of Czech Social Democratic Party right after January 2004?,Czech Social Democratic Party,2004-01,Stanislav Gross
Who was the chair of Czech Social Democratic Party right after January 2005?,Czech Social Democratic Party,2005-01,Jiří Paroubek
Who was the chair of Czech Social Democratic Party right after January 2010?,Czech Social Democratic Party,2010-01,Bohuslav Sobotka
Who was the chair of Czech Social Democratic Party right after January 2021?,Czech Social Democratic Party,2021-01,Michal Šmarda
Who was the head coach of the team SFC Opava right after September 2018?,SFC Opava,2018-09,Ivan Kopecký
Which employer did Ajit Pai work for right after April 2003?,Ajit Pai,2003-04,Office of Legal Policy
Which team did David Steven play for right after January 1897?,David Steven,1897-01,Southampton F.C.
Which team did David Steven play for right after January 1899?,David Steven,1899-01,Dundee F.C.
"Which position did John Russell, 1st Earl Russell hold right after February 1817?","John Russell, 1st Earl Russell",1817-02,Member of the 6th Parliament of the United Kingdom
"Which position did John Russell, 1st Earl Russell hold right after June 1826?","John Russell, 1st Earl Russell",1826-06,Member of the 8th Parliament of the United Kingdom
"Which position did John Russell, 1st Earl Russell hold right after July 1830?","John Russell, 1st Earl Russell",1830-07,Member of the 9th Parliament of the United Kingdom
"Which position did John Russell, 1st Earl Russell hold right after April 1831?","John Russell, 1st Earl Russell",1831-04,Member of the 10th Parliament of the United Kingdom
"Which position did John Russell, 1st Earl Russell hold right after December 1834?","John Russell, 1st Earl Russell",1834-12,Home Secretary
"Which position did John Russell, 1st Earl Russell hold right after February 1855?","John Russell, 1st Earl Russell",1855-02,Secretary of State for the Colonies
"Which position did John Russell, 1st Earl Russell hold right after July 1855?","John Russell, 1st Earl Russell",1855-07,Member of the 17th Parliament of the United Kingdom
"Which position did John Russell, 1st Earl Russell hold right after June 1866?","John Russell, 1st Earl Russell",1866-06,Leader of the Opposition
Which position did Ann Winterton hold right after May 1987?,Ann Winterton,1987-05,Member of the 50th Parliament of the United Kingdom
Which position did Ann Winterton hold right after March 1992?,Ann Winterton,1992-03,Member of the 51st Parliament of the United Kingdom
Who was the chair of Order of Vittorio Veneto right after January 1992?,Order of Vittorio Veneto,1992-01,Oscar Luigi Scalfaro
Who was the chair of Order of Vittorio Veneto right after January 1999?,Order of Vittorio Veneto,1999-01,Carlo Azeglio Ciampi
Who was the chair of Economic Community of West African States right after July 1975?,Economic Community of West African States,1975-07,Olusegun Obasanjo
Who was the chair of Economic Community of West African States right after January 1984?,Economic Community of West African States,1984-01,Lansana Conté
Who was the chair of Economic Community of West African States right after January 1985?,Economic Community of West African States,1985-01,Abdou Diouf
Who was the chair of Economic Community of West African States right after January 1994?,Economic Community of West African States,1994-01,Jerry Rawlings
Who was the chair of Economic Community of West African States right after July 1996?,Jerry Rawlings,1996-07,Sani Abacha
Who was the chair of Economic Community of West African States right after December 2001?,Economic Community of West African States,2001-12,Abdoulaye Wade
Who was the chair of Economic Community of West African States right after January 2005?,Economic Community of West African States,2005-01,Mamadou Tandja
Who was the chair of Economic Community of West African States right after January 2007?,Economic Community of West African States,2007-01,Blaise Compaoré
Who was the chair of Economic Community of West African States right after December 2008?,Economic Community of West African States,2008-12,Umaru Musa Yar'Adua
Who was the chair of Economic Community of West African States right after February 2010?,Economic Community of West African States,2010-02,Goodluck Jonathan
Who was the chair of Economic Community of West African States right after May 2015?,Economic Community of West African States,2015-05,Macky Sall
Who was the chair of Economic Community of West African States right after June 2016?,Economic Community of West African States,2016-06,Ellen Johnson Sirleaf
Who was the chair of Economic Community of West African States right after June 2017?,Economic Community of West African States,2017-06,Faure Essozimna Gnassingbé Eyadéma
Who was the chair of Economic Community of West African States right after July 2018?,Economic Community of West African States,2018-07,Muhammadu Buhari
Which employer did Frederick M. Bernthal work for right after January 1978?,Frederick M. Bernthal,1978-01,Howard Baker
Where was Stefan E. Warschawski educated right after January 1926?,Stefan E. Warschawski,1926-01,University of Göttingen
Which position did George Daggar hold right after October 1931?,George Daggar,1931-10,Member of the 36th Parliament of the United Kingdom
Which position did George Daggar hold right after October 1935?,George Daggar,1935-10,Member of the 37th Parliament of the United Kingdom
Which position did George Daggar hold right after June 1945?,George Daggar,1945-06,Member of the 38th Parliament of the United Kingdom
Which position did Sergio Osmeña hold right after October 1907?,Sergio Osmeña,1907-10,Speaker of the House of Representatives of the Philippines
Which position did Sergio Osmeña hold right after January 1944?,Sergio Osmeña,1944-01,President of the Philippines
Which employer did Roger G. Barry work for right after January 1954?,Roger G. Barry,1954-01,University of Southampton
Which team did Brian Smith play for right after January 1981?,Brian Smith,1981-01,Bury F.C.
Which position did Anniken Huitfeldt hold right after January 2005?,Anniken Huitfeldt,2005-01,Minister of Children and Families
Which position did Anniken Huitfeldt hold right after October 2013?,Anniken Huitfeldt,2013-10,Foreign Minister of Norway
Which employer did Khadija Arib work for right after January 1983?,Khadija Arib,1983-01,Ministry of Social Affairs and Employment
Who was the head of Nantou County right after December 1981?,Nantou County,1981-12,Wu Den-yih
Who was the head of Nantou County right after December 1981?,Nantou County,1981-12,Wu Den-yih
Who was the head of Nantou County right after December 1989?,Nantou County,1989-12,Lin Yuan-lang
Who was the head of Nantou County right after December 2001?,Nantou County,2001-12,Lin Tsung-nan
Who was the head of Nantou County right after December 2005?,Nantou County,2005-12,Lee Chao-ching
Who was the head of Nantou County right after November 2012?,Nantou County,2012-11,Lin Ming-chen
Which team did Yves Deroff play for right after January 2002?,Yves Deroff,2002-01,RC Strasbourg
Who was the chair of People's Party of the Balearic Islands right after January 1996?,People's Party of the Balearic Islands,1996-01,Joan Verger Pocoví
Who was the chair of People's Party of the Balearic Islands right after July 2007?,People's Party of the Balearic Islands,2007-07,Rosa Estaràs
Who was the chair of People's Party of the Balearic Islands right after March 2017?,People's Party of the Balearic Islands,2017-03,Gabriel Company Bauzá
Who was the chair of Belgian Senate right after July 2019?,Belgian Senate,2019-07,Sabine Laruelle
Who was the chair of Belgian Senate right after July 2019?,Belgian Senate,2019-07,Sabine Laruelle
Who was the chair of Belgian Senate right after October 2020?,Belgian Senate,2020-10,Stephanie D'Hose
Who was the head coach of the team Feyenoord right after October 2019?,Feyenoord,2019-10,Dick Advocaat
Who was the chair of Delta Air Lines right after January 1951?,Delta Air Lines,1951-01,Carleton Putnam
Who was the chair of Delta Air Lines right after January 1955?,Delta Air Lines,1955-01,Collett E. Woolman
Who was the chair of Delta Air Lines right after January 1966?,Delta Air Lines,1966-01,Charles H. Dolson
Who was the chair of Delta Air Lines right after January 1971?,Delta Air Lines,1971-01,W.T. Beebe
Who was the chair of Delta Air Lines right after January 1983?,Delta Air Lines,1983-01,"David C. Garrett, Jr."
Who was the chair of Delta Air Lines right after January 1987?,Delta Air Lines,1987-01,Ronald W. Allen
Who was the chair of Delta Air Lines right after January 2004?,Delta Air Lines,2004-01,Daniel Carp
Who was the head coach of the team FC Astra Giurgiu right after April 2018?,FC Astra Giurgiu,2018-04,Marius Măldărășanu
Who was the head coach of the team FC Astra Giurgiu right after September 2018?,FC Astra Giurgiu,2018-09,Gheorghe Mulțescu
Who was the head coach of the team FC Astra Giurgiu right after November 2018?,FC Astra Giurgiu,2018-11,Costel Enache
Who was the head coach of the team FC Astra Giurgiu right after June 2019?,FC Astra Giurgiu,2019-06,Dan Alexa
Who was the head coach of the team FC Astra Giurgiu right after September 2020?,FC Astra Giurgiu,2020-09,Ionuț Badea
"Which position did Sir Walter Nugent, 4th Baronet hold right after January 1910?","Sir Walter Nugent, 4th Baronet",1910-01,Member of the 29th Parliament of the United Kingdom
"Which position did Sir Walter Nugent, 4th Baronet hold right after November 1910?","Sir Walter Nugent, 4th Baronet",1910-11,Member of the 30th Parliament of the United Kingdom
Which team did Sergio Codognato play for right after January 1964?,Sergio Codognato,1964-01,Calcio Catania
Which team did Sergio Codognato play for right after January 1965?,Sergio Codognato,1965-01,U.S. Alessandria Calcio 1912
Which team did Sergio Codognato play for right after January 1966?,Sergio Codognato,1966-01,U.S. Salernitana 1919
Which team did Sergio Codognato play for right after January 1967?,Sergio Codognato,1967-01,S.C. Ravenna Sport 2019
Which team did Sergio Codognato play for right after January 1969?,Sergio Codognato,1969-01,S.E.F. Torres 1903
Who was the head coach of the team K.V. Kortrijk right after January 2016?,K.V. Kortrijk,2016-01,Glen De Boeck
Who was the head coach of the team K.V. Kortrijk right after November 2018?,K.V. Kortrijk,2018-11,Yves Vanderhaeghe
Who was the head coach of the team K.V. Kortrijk right after October 2021?,K.V. Kortrijk,2021-10,Karim Belhocine
Who was the head of Brno right after November 2014?,Brno,2014-11,Petr Vokřál
Which team did Brian Rhodes play for right after January 1963?,Brian Rhodes,1963-01,Southend United F.C.
Which employer did William McCrea work for right after January 1936?,William McCrea,1936-01,Queen's University Belfast
Which employer did William McCrea work for right after January 1943?,William McCrea,1943-01,"Royal Holloway, University of London"
Which employer did Woldemar Bargiel work for right after January 1874?,Woldemar Bargiel,1874-01,Berlin University of the Arts
Which employer did Sidney W. Bijou work for right after January 1965?,Sidney W. Bijou,1965-01,University of Illinois at Urbana–Champaign
Which employer did Sidney W. Bijou work for right after January 1975?,Sidney W. Bijou,1975-01,University of Arizona
Which employer did Sidney W. Bijou work for right after January 1993?,Sidney W. Bijou,1993-01,"University of Nevada, Reno"
Which position did Siim Kallas hold right after November 1996?,Siim Kallas,1996-11,Minister of Finance
Which position did Siim Kallas hold right after April 2003?,Siim Kallas,2003-04,European Commissioner for Economic and Monetary Affairs and the Euro
Which position did Siim Kallas hold right after November 2004?,Siim Kallas,2004-11,European Commissioner for Transport
Which position did Siim Kallas hold right after November 2014?,Siim Kallas,2014-11,member of the Estonian Riigikogu
Which team did Scott Flinders play for right after January 2009?,Scott Flinders,2009-01,Hartlepool United F.C.
Which position did Edward Royd Rice hold right after June 1841?,Edward Royd Rice,1841-06,Member of the 14th Parliament of the United Kingdom
Which team did Hugo Pina play for right after January 2009?,Hugo Pina,2009-01,G.D. Ribeirão
Which team did Hugo Pina play for right after January 2012?,Hugo Pina,2012-01,Atlético Clube de Portugal
Which team did Hugo Pina play for right after January 2014?,Hugo Pina,2014-01,C.D. Mafra
Which political party did Obren Joksimović belong to right after January 1995?,Obren Joksimović,1995-01,Democratic Party of Serbia
Which employer did Sergio Villalobos work for right after January 1992?,Sergio Villalobos,1992-01,University Finis Terrae
Which employer did Sergio Villalobos work for right after January 2001?,Sergio Villalobos,2001-01,Andrés Bello University
Which employer did Sergio Villalobos work for right after January 2010?,Sergio Villalobos,2010-01,Bernardo O'Higgins University
Which employer did Wendell A. Mordy work for right after January 1956?,Wendell A. Mordy,1956-01,Stockholm University
Which employer did Wendell A. Mordy work for right after January 1972?,Wendell A. Mordy,1972-01,Center for the Study of Democratic Institutions
Which employer did Wendell A. Mordy work for right after January 1977?,Wendell A. Mordy,1977-01,Science Museum of Minnesota
Which position did Josef Zieleniec hold right after July 2004?,Josef Zieleniec,2004-07,member of the European Parliament
Which employer did Nathan Gregory Silvermaster work for right after January 1938?,Nathan Gregory Silvermaster,1938-01,Maritime Labor Board
Which employer did Nathan Gregory Silvermaster work for right after January 1940?,Nathan Gregory Silvermaster,1940-01,United States Department of Agriculture
Where was Adolf Born educated right after January 1953?,Adolf Born,1953-01,"Academy of Fine Arts, Prague"
Where was Xi Murong educated right after January 1963?,Xi Murong,1963-01,Académie royale des Beaux-Arts  de Bruxelles
Which employer did Lukáš M. Vytlačil work for right after January 2018?,Lukáš M. Vytlačil,2018-01,"Institute of Czech Literature, Czech Academy of Sciences"
Which employer did Lukáš M. Vytlačil work for right after January 2022?,Lukáš M. Vytlačil,2022-01,National Heritage Institute
Where was Benjamín Subercaseaux educated right after January 1914?,Benjamín Subercaseaux,1914-01,Colegio de los Sagrados Corazones de Santiago
Which employer did Jerzy Neyman work for right after January 1934?,Jerzy Neyman,1934-01,University College London
Who was the head of Aulnay-sous-Bois right after January 1977?,Aulnay-sous-Bois,1977-01,Jean-Claude Abrioux
Who was the head of Aulnay-sous-Bois right after January 2003?,Aulnay-sous-Bois,2003-01,Gérard Gaudron
Who was the head of Aulnay-sous-Bois right after January 2008?,Aulnay-sous-Bois,2008-01,Gérard Ségura
Which employer did Richard C. Bradt work for right after January 1989?,Richard C. Bradt,1989-01,"University of Nevada, Reno"
Where was Owe Wiktorin educated right after January 1962?,Owe Wiktorin,1962-01,Swedish National Military College
Which employer did Otto E. Neugebauer work for right after January 1934?,Otto E. Neugebauer,1934-01,University of Copenhagen
Which employer did Otto E. Neugebauer work for right after January 1938?,Otto E. Neugebauer,1938-01,Brown University
Which employer did Otto E. Neugebauer work for right after January 1969?,Otto E. Neugebauer,1969-01,Institute for Advanced Study
Which employer did Mary Meeker work for right after January 1986?,Mary Meeker,1986-01,Salomon Brothers
Which employer did Mary Meeker work for right after January 1990?,Mary Meeker,1990-01,Cowen Group
Which team did Kevin Tully play for right after January 1978?,Kevin Tully,1978-01,Port Vale F.C.
Which team did Kevin Tully play for right after January 1980?,Kevin Tully,1980-01,Bury F.C.
"Which position did George Montagu, 6th Duke of Manchester hold right after April 1831?","George Montagu, 6th Duke of Manchester",1831-04,Member of the 10th Parliament of the United Kingdom
"Which position did George Montagu, 6th Duke of Manchester hold right after December 1832?","George Montagu, 6th Duke of Manchester",1832-12,Member of the 11th Parliament of the United Kingdom
"Which position did George Montagu, 6th Duke of Manchester hold right after December 1834?","George Montagu, 6th Duke of Manchester",1834-12,Member of the 12th Parliament of the United Kingdom
Which employer did Lawrence Heaney work for right after January 1975?,Lawrence Heaney,1975-01,University of Kansas
Which employer did Mark Krein work for right after January 1941?,Mark Krein,1941-01,Samara State Technical University
Which employer did Mark Krein work for right after January 1952?,Mark Krein,1952-01,Kryvyi Rih National University
Which employer did Matthew Pratt Guterl work for right after January 2003?,Matthew Pratt Guterl,2003-01,Indiana University Bloomington
Which position did Mark Clinton hold right after March 1965?,Mark Clinton,1965-03,Substitute member of the Parliamentary Assembly of the Council of Europe
Which position did Mark Clinton hold right after January 1971?,Mark Clinton,1971-01,"Minister for Agriculture, Food and the Marine"
"Which position did Charles-Joseph, 4th Duke d'Ursel hold right after January 1814?","Charles-Joseph, 4th Duke d'Ursel",1814-01,interior minister
"Which position did Charles-Joseph, 4th Duke d'Ursel hold right after January 1815?","Charles-Joseph, 4th Duke d'Ursel",1815-01,"Minister of Transport, Public Works and Water Management"
"Which position did Charles-Joseph, 4th Duke d'Ursel hold right after July 1819?","Charles-Joseph, 4th Duke d'Ursel",1819-07,Minister of State
